Kuupäev;SO2;NO2;CO;O3;PM10;PM2.5;TEMP;WD10;WS10
"2019-12-31 23:00";0,1;1,0;0,19;77,5;4,3;0,9;-0,7;311;3,1
"2019-12-31 22:00";0,5;1,2;0,19;78,2;3,4;0,9;-0,0;318;3,7
"2019-12-31 21:00";0,5;1,7;0,20;67,7;2,6;0,9;1,1;314;3,7
"2019-12-31 20:00";0,7;2,8;0,22;59,3;2,6;0,9;1,2;305;2,8
"2019-12-31 19:00";0,8;3,0;0,24;56,2;2,6;0,9;1,3;308;2,8
"2019-12-31 18:00";0,8;3,7;0,23;53,5;2,6;0,9;1,2;307;2,5
"2019-12-31 17:00";0,9;5,2;0,24;50,0;2,6;0,9;1,4;309;2,7
"2019-12-31 16:00";0,8;6,3;0,23;48,5;3,9;1,7;2,3;316;3,0
"2019-12-31 15:00";0,9;4,6;0,21;63,3;5,1;2,6;3,8;311;2,8
"2019-12-31 14:00";1,1;5,2;0,20;68,3;5,1;2,6;4,2;297;1,9
"2019-12-31 13:00";1,1;8,0;0,21;65,4;5,6;2,6;4,3;278;1,5
"2019-12-31 12:00";1,3;6,9;0,22;65,3;6,0;2,6;3,9;271;1,4
"2019-12-31 11:00";1,2;7,4;0,25;60,8;6,0;2,6;3,4;257;1,2
"2019-12-31 10:00";1,4;9,9;0,26;56,2;5,6;2,1;3,2;253;1,4
"2019-12-31 09:00";1,8;6,8;0,23;57,6;5,1;1,7;3,4;250;1,3
"2019-12-31 08:00";1,7;3,7;0,19;58,1;5,1;1,7;3,7;242;1,2
"2019-12-31 07:00";1,3;1,4;0,17;59,5;6,4;2,1;4,4;238;1,5
"2019-12-31 06:00";1,5;1,4;0,17;59,7;7,7;2,6;4,8;244;1,4
"2019-12-31 05:00";1,5;0,2;0,17;57,8;7,7;2,6;5,3;238;1,3
"2019-12-31 04:00";2,8;0,7;0,18;55,0;8,1;3,4;5,6;232;1,3
"2019-12-31 03:00";2,8;0,6;0,18;53,0;8,6;4,3;6,0;227;1,4
"2019-12-31 02:00";3,6;2,3;0,20;50,5;8,6;4,3;6,5;233;0,9
"2019-12-31 01:00";3,8;1,6;0,21;50,6;9,8;4,3;6,5;224;1,1
"2019-12-31 00:00";4,2;1,9;0,21;49,8;11,1;4,3;6,4;236;1,0
"2019-12-30 23:00";4,5;3,4;0,24;47,5;11,1;4,3;6,3;233;0,8
"2019-12-30 22:00";4,7;4,9;0,29;46,0;12,0;7,1;6,2;244;0,8
"2019-12-30 21:00";3,9;6,2;0,34;46,0;12,8;10,0;6,4;238;0,9
"2019-12-30 20:00";2,7;6,3;0,36;45,5;12,8;10,0;6,3;233;1,2
"2019-12-30 19:00";1,9;8,6;0,50;41,7;9,8;8,0;6,0;220;1,3
"2019-12-30 18:00";1,5;9,1;0,51;41,3;6,8;6,0;5,5;219;1,2
"2019-12-30 17:00";1,7;10,9;0,45;39,4;6,8;6,0;5,1;214;1,6
"2019-12-30 16:00";1,6;9,6;0,38;41,1;7,3;6,0;4,9;211;1,5
"2019-12-30 15:00";1,5;9,5;0,35;41,1;7,7;6,0;4,8;215;1,5
"2019-12-30 14:00";1,3;7,9;0,33;42,6;7,7;6,0;4,7;224;1,6
"2019-12-30 13:00";0,9;9,2;0,35;41,8;7,3;5,6;4,4;212;1,4
"2019-12-30 12:00";1,0;9,9;0,39;41,2;6,8;5,1;4,1;205;1,4
"2019-12-30 11:00";1,0;8,1;0,33;44,0;6,8;5,1;3,8;199;1,5
"2019-12-30 10:00";0,9;7,7;0,31;45,5;5,6;4,7;3,6;200;1,4
"2019-12-30 09:00";1,0;7,4;0,30;47,3;4,3;4,3;3,4;202;1,4
"2019-12-30 08:00";1,0;4,4;0,25;52,2;4,3;4,3;3,3;200;1,6
"2019-12-30 07:00";2,5;1,8;0,20;56,2;3,9;3,4;3,2;198;1,8
"2019-12-30 06:00";2,6;1,0;0,19;57,3;3,4;2,6;3,2;197;1,5
"2019-12-30 05:00";2,7;0,7;0,19;57,5;3,4;2,6;3,0;200;2,4
"2019-12-30 04:00";3,0;0,4;0,20;56,3;5,6;3,0;2,6;198;2,6
"2019-12-30 03:00";3,2;0,6;0,20;56,5;7,7;3,4;2,4;196;2,7
"2019-12-30 02:00";3,1;0,8;0,21;57,0;7,7;3,4;2,2;198;2,5
"2019-12-30 01:00";3,1;0,8;0,21;56,2;9,8;6,0;1,8;196;2,7
"2019-12-30 00:00";3,4;1,3;0,24;55,0;12,0;8,5;1,3;198;2,6
"2019-12-29 23:00";3,7;1,7;0,27;54,5;12,0;8,5;0,9;191;2,4
"2019-12-29 22:00";3,6;2,8;0,30;53,6;14,6;9,8;0,5;187;2,9
"2019-12-29 21:00";3,8;4,5;0,28;53,0;17,1;11,1;0,3;192;3,3
"2019-12-29 20:00";4,0;4,6;0,33;54,2;17,1;11,1;0,1;189;3,1
"2019-12-29 19:00";4,0;6,7;0,38;52,3;25,7;17,9;-0,2;189;2,9
"2019-12-29 18:00";3,5;9,6;0,41;49,7;34,2;24,8;-0,6;187;3,0
"2019-12-29 17:00";3,2;10,4;0,47;48,0;34,2;24,8;-1,0;190;2,8
"2019-12-29 16:00";3,0;14,0;0,74;46,2;26,1;16,2;-1,4;186;2,8
"2019-12-29 15:00";3,6;20,9;0,67;51,1;18,0;7,7;-1,8;188;2,6
"2019-12-29 14:00";2,4;8,6;0,36;52,5;18,0;7,7;-2,5;186;2,9
"2019-12-29 13:00";1,8;6,5;0,34;54,3;13,3;5,6;-2,8;188;2,7
"2019-12-29 12:00";1,4;5,7;0,35;53,9;8,6;3,4;-3,6;187;2,4
"2019-12-29 11:00";1,7;5,6;0,43;55,1;8,6;3,4;-4,3;195;2,7
"2019-12-29 10:00";1,1;5,4;0,31;55,8;6,8;2,6;-4,3;214;1,8
"2019-12-29 09:00";1,4;2,8;0,30;59,6;5,1;1,7;-3,8;203;2,1
"2019-12-29 08:00";1,5;2,2;0,26;61,7;5,1;1,7;-3,6;206;2,1
"2019-12-29 07:00";1,5;1,4;0,20;63,0;5,6;1,7;-3,6;211;1,7
"2019-12-29 06:00";1,8;0,2;0,19;65,2;6,0;1,7;-3,1;222;1,7
"2019-12-29 05:00";1,5;0,7;0,18;63,8;6,0;1,7;-2,7;242;1,1
"2019-12-29 04:00";1,4;0,9;0,19;64,3;6,8;2,1;-2,6;245;1,2
"2019-12-29 03:00";1,6;1,7;0,19;63,2;7,7;2,6;-2,6;180;1,0
"2019-12-29 02:00";1,3;0,9;0,19;64,7;7,7;2,6;-2,4;317;0,6
"2019-12-29 01:00";1,7;1,8;0,19;63,8;9,4;3,0;-2,3;313;0,9
"2019-12-29 00:00";1,5;1,5;0,19;66,8;11,1;3,4;-2,5;317;1,1
"2019-12-28 23:00";1,7;0,6;0,19;67,5;11,1;3,4;-2,4;344;1,0
"2019-12-28 22:00";1,5;2,4;0,20;66,0;12,4;3,4;-2,4;317;1,6
"2019-12-28 21:00";1,6;3,8;0,24;63,6;13,7;3,4;-2,3;324;1,4
"2019-12-28 20:00";2,0;5,0;0,28;62,2;13,7;3,4;-2,2;319;1,7
"2019-12-28 19:00";1,8;7,2;0,29;61,2;12,0;3,0;-2,0;321;1,8
"2019-12-28 18:00";2,0;5,2;0,26;62,7;10,3;2,6;-1,8;332;1,5
"2019-12-28 17:00";1,4;5,7;0,24;60,8;10,3;2,6;-1,6;333;1,4
"2019-12-28 16:00";1,2;4,2;0,22;62,7;8,6;2,1;-1,5;337;1,7
"2019-12-28 15:00";1,2;3,5;0,21;62,6;6,8;1,7;-1,2;336;1,9
